"id_no";"binomial";"presence";"origin";"seasonal";"compiler";"yrcompiled";"citation";"source";"dist_comm";"island";"subspecies";"subpop";"legend";"tax_comm";"kingdom";"phylum";"class";"order_";"family";"genus";"category";"marine";"terrestial";"freshwater";"SHAPE_Leng";"SHAPE_Area"
172758;"Furcifer rhinoceratus";1;1;1;"Madagasikara Voakajy";2012;"Madagasikara Voakajy";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Furcifer";"VU";"False";"True";"False";13.1759856663;1.63556535699
172962;"Furcifer angeli";1;1;1;"Madagasikara Voakajy";2012;"Madagasikara Voakajy";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Furcifer";"LC";"False";"True";"False";12.5118312657;2.65510652207
172962;"Furcifer angeli";1;1;1;"Madagasikara Voakajy";2010;"Madagasikara Voakajy";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Furcifer";"LC";"False";"True";"False";12.5118312661;2.65510652228
172524;"Rhampholeon acuminatus";1;1;1;"Krystal Tolley";2014;"IUCN";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Rhampholeon";"CR";"False";"True";"False";0.267045865708;0.00229477385808
172548;"Rieppeleon brachyurus";1;1;1;"Krystal Tolley";2014;"IUCN";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Rieppeleon";"LC";"False";"True";"False";28.6158367239;33.2788221333
172844;"Brookesia ebenaui";1;1;1;"Madagasikara Voakajy";2010;"Madagasikara Voakajy";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Brookesia";"VU";"False";"True";"False";5.50943305352;1.19517536517
172861;"Calumma nasutum";1;1;1;"Madagasikara Voakajy";2012;"Madagasikara Voakajy";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Calumma";"LC";"False";"True";"False";39.4355189581;17.2092639844
176305;"Calumma peyrierasi";1;1;1;"Madagasikara Voakajy";2010;"Madagasikara Voakajy";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Calumma";"VU";"False";"True";"False";1.39581302324;0.0500966767042
172536;"Chamaeleo gracilis";1;1;1;"Krystal Tolley";2014;"IUCN";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Chamaeleo";"LC";"False";"True";"False";162.430316438;916.366362417
193482;"Calumma tarzan";1;1;1;"Madagasikara Voakajy";2010;"Madagasikara Voakajy";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Calumma";"CR";"False";"True";"False";0.476506187328;0.000801798091732
172545;"Kinyongia matschiei";1;1;1;"Krystal Tolley";2014;"IUCN";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Kinyongia";"EN";"False";"True";"False";3.40883376437;0.0233016466868
75976903;"Kinyongia mulyai";1;1;1;"IUCN";2015;"International Union for the Conservation of Nature";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Kinyongia";"CR";"False";"True";"False";0.157183574473;0.000133839533872
172760;"Calumma tsaratananense";1;1;1;"Madagasikara Voakajy";2012;"Madagasikara Voakajy";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Calumma";"VU";"False";"True";"False";2.45195581645;0.114057946579
172760;"Calumma tsaratananense";1;1;1;"Madagasikara Voakajy";2010;"Madagasikara Voakajy";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Calumma";"VU";"False";"True";"False";2.45195582468;0.114057946616
42695980;"Furcifer viridis";1;1;1;"Madagasikara Voakajy";2013;"Madagasikara Voakajy";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Furcifer";"LC";"False";"True";"False";53.8332387868;23.1184601977
172886;"Calumma crypticum";1;1;1;"Madagasikara Voakajy";2012;"Madagasikara Voakajy";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Calumma";"LC";"False";"True";"False";28.2780015595;8.78104938806
176317;"Trioceros laterispinis";1;1;1;"Krystal Tolley";2014;"IUCN";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Trioceros";"EN";"False";"True";"False";2.45148928916;0.0436345803065
176294;"Brookesia bekolosy";1;1;1;"IUCN";2012;"International Union for Conservation of Nature (IUCN)";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Brookesia";"EN";"False";"True";"False";0.414353509387;0.00411292199633
172560;"Trioceros narraioca";1;1;1;"Krystal Tolley";2014;"IUCN";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Trioceros";"NT";"False";"True";"False";0.300809392318;0.0019482281567
172955;"Furcifer pardalis";1;5;1;"Philip Bowles";2012;"International Union for Conservation of Nature (IUCN), Conservation International, Madagasikara Voakajy";"Nik Cole";NA;"Reunion";NA;NA;"Extant & Origin Uncertain (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Furcifer";"LC";"False";"True";"False";1.93711118823;0.22092059471
172955;"Furcifer pardalis";1;5;1;"Philip Bowles";2012;"International Union for Conservation of Nature (IUCN), Conservation International, Madagasikara Voakajy";"Nik Cole";NA;"Mauriti";NA;NA;"Extant & Origin Uncertain (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Furcifer";"LC";"False";"True";"False";2.08486586776;0.162327549648
203824;"Trioceros hanangensis";1;1;1;"Krystal Tolley";2014;"IUCN";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Trioceros";"NT";"False";"True";"False";0.211211376103;0.00117468182208
172562;"Rhampholeon nchisiensis";1;1;1;"Krystal Tolley";2014;"IUCN";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Rhampholeon";"LC";"False";"True";"False";0.220574354565;0.0014945823979
3083;"Brookesia perarmata";1;1;1;"Madagasikara Voakajy";2012;"Madagasikara Voakajy";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Brookesia";"EN";"False";"True";"False";0.849738145386;0.0343869309928
3083;"Brookesia perarmata";1;1;1;"Madagasikara Voakajy";2010;"Madagasikara Voakajy";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Brookesia";"EN";"False";"True";"False";0.849738146518;0.0343869309915
176304;"Calumma glawi";1;1;1;"Madagasikara Voakajy";2012;"Madagasikara Voakajy";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Calumma";"EN";"False";"True";"False";2.43357825576;0.115722455854
172798;"Calumma furcifer";1;1;1;"Madagasikara Voakajy";2012;"Madagasikara Voakajy";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Calumma";"EN";"False";"True";"False";2.24428903841;0.12140279337
176320;"Furcifer tuzetae";1;1;1;"Madagasikara Voakajy";2012;"Madagasikara Voakajy";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Furcifer";"DD";"False";"True";"False";0.0748942984218;0.000350468110728
172552;"Kinyongia tenuis";1;1;1;"Krystal Tolley";2014;"IUCN";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Kinyongia";"EN";"False";"True";"False";4.1440131107;0.0326094782877
172547;"Trioceros werneri";1;1;1;"Krystal Tolley";2014;"IUCN";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Trioceros";"LC";"False";"True";"False";9.43828428772;0.661712762836
172541;"Trioceros deremensis";1;1;1;"Krystal Tolley";2014;"IUCN";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Trioceros";"LC";"False";"True";"False";5.15456418617;0.113972379618
42696174;"Furcifer lateralis";1;1;1;"Madagasikara Voakajy";2013;"Madagasikara Voakajy";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Furcifer";"LC";"False";"True";"False";20.8298307511;11.2904616553
176308;"Chamaeleo dilepis";1;1;1;"Krystal Tolley";2014;"IUCN";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Chamaeleo";"LC";"False";"True";"False";177.321141871;916.107845238
172951;"Calumma jejy";1;1;1;"Madagasikara Voakajy";2012;"Madagasikara Voakajy";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Calumma";"VU";"False";"True";"False";0.299078321809;0.00164734046827
172951;"Calumma jejy";1;1;1;"Madagasikara Voakajy";2010;"Madagasikara Voakajy";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Calumma";"VU";"False";"True";"False";0.299078323088;0.00164734050163
3009;"Bradypodion nemorale";1;1;1;"South African National Biodiversity Institute";2018;"Southern African Regional Reptile Specialist Group";NA;NA;NA;NA;NA;"Extant (resident)";NA;"ANIMALIA";"CHORDATA";"REPTILIA";"SQUAMATA";"CHAMAELEONIDAE";"Bradypodion";"NT";"False";"True";"False";0.484416872575;0.00361570831833
