"genus","collection_no","family","abund_value","abund_unit","reference_no","life_habit","diet","country","geoplate","lat","lng","paleolat","paleolng","period","epoch","subepoch","stage","early_interval","late_interval","max_ma","min_ma","stg","ten","env","lith","latgroup","bath","gensp","ecology","ecologyMostZ","ecologyMostAZ","ecologyBoth","growth","integration"
"Favia",7274,"Faviidae","3","specimens",462,"low-level epifaunal","photosymbiotic","Panama",230,9.25,-79.633333,6.8,-77.25,"Paleogene","Eocene","Late/Upper Eocene","Priabonian","Priabonian","",38,33.9,87,46,"r","s","t","shal","Favia favioides","z","z","z",FALSE,"colonial","2"
"Favia",7274,"Faviidae","4","specimens",462,"low-level epifaunal","photosymbiotic","Panama",230,9.25,-79.633333,6.8,-77.25,"Paleogene","Eocene","Late/Upper Eocene","Priabonian","Priabonian","",38,33.9,87,46,"r","s","t","shal","Favia weisbordi","z","z","z",FALSE,"colonial","2"
"Favia",10703,"Faviidae","1","specimens",3977,"low-level epifaunal","photosymbiotic","Germany",307,47.166667,12.883333,43.21,11,"Paleogene","Eocene","Late/Upper Eocene","Priabonian","Priabonian","",38,33.9,87,46,"r","c","nt","shal","Favia exilis","z","z","z",FALSE,"colonial","2"
"Favia",11290,"Faviidae","","",4154,"low-level epifaunal","photosymbiotic","Pakistan",501,25.966667,67.766667,12.76,62.79,"Paleogene","Eocene","Middle Eocene","Bartonian","Bartonian","",41.3,38,86,46,"r","uk","t","shal","Favia maliriensis","z","z","z",FALSE,"colonial","2"
"Favia",11290,"Faviidae","","",4154,"low-level epifaunal","photosymbiotic","Pakistan",501,25.966667,67.766667,12.76,62.79,"Paleogene","Eocene","Middle Eocene","Bartonian","Bartonian","",41.3,38,86,46,"r","uk","t","shal","Favia pedunculata","z","z","z",FALSE,"colonial","2"
"Favia",22969,"Faviidae","12","specimens",6612,"low-level epifaunal","photosymbiotic","Slovenia",307,46.5,15.716667,46.01,15.36,"Neogene","Miocene","Middle Miocene","Serravallian","Badenian","",13.65,12.7,91,48,"r","c","nt","shal","Favia melitae","z","z","z",FALSE,"colonial","2"
"Favia",22969,"Faviidae","3","specimens",6612,"low-level epifaunal","photosymbiotic","Slovenia",307,46.5,15.716667,46.01,15.36,"Neogene","Miocene","Middle Miocene","Serravallian","Badenian","",13.65,12.7,91,48,"r","c","nt","shal","Favia macdonaldi","z","z","z",FALSE,"colonial","2"
"Favia",22976,"Faviidae","","",6616,"low-level epifaunal","photosymbiotic","United States",901,28.233333,-177.4,22.33,-163.92,"Neogene","Miocene","Early/Lower Miocene","","Aquitanian","Burdigalian",23.03,15.97,90,48,"r","c","t","shal","Favia sp.","z","z","z",FALSE,"colonial","2"
"Favia",22976,"Faviidae","","",6616,"low-level epifaunal","photosymbiotic","United States",901,28.233333,-177.4,22.33,-163.92,"Neogene","Miocene","Early/Lower Miocene","","Aquitanian","Burdigalian",23.03,15.97,90,48,"r","c","t","shal","Favia sp.","z","z","z",FALSE,"colonial","2"
"Favia",22977,"Faviidae","","",6616,"low-level epifaunal","photosymbiotic","United States",901,28.233333,-177.4,25.02,-171.24,"Neogene","Miocene","Late/Upper Miocene","","Late/Upper Miocene","",11.608,5.333,92,49,"r","c","t","shal","Favia sp.","z","z","z",FALSE,"colonial","2"
"Favia",25254,"Faviidae","","",7077,"low-level epifaunal","photosymbiotic","Iran",515,26.472222,57.908333,21.55,57.22,"Neogene","Miocene","Early/Lower Miocene","Aquitanian","Aquitanian","",23.03,20.44,90,48,"r","c","t","shal","Favia laxa","z","z","z",FALSE,"colonial","2"
"Favia",25254,"Faviidae","","",7077,"low-level epifaunal","photosymbiotic","Iran",515,26.472222,57.908333,21.55,57.22,"Neogene","Miocene","Early/Lower Miocene","Aquitanian","Aquitanian","",23.03,20.44,90,48,"r","c","t","shal","Favia sindiana","z","z","z",FALSE,"colonial","2"
"Favia",25255,"Faviidae","2","specimens",7077,"low-level epifaunal","photosymbiotic","Iran",515,27.316667,57.116667,23.58,57.22,"Neogene","Miocene","Early/Lower Miocene","Burdigalian","Burdigalian","",20.44,15.97,90,48,"r","c","t","shal","Favia sp.","z","z","z",FALSE,"colonial","2"
"Favia",25256,"Faviidae","12","specimens",7077,"low-level epifaunal","photosymbiotic","Iran",515,26.016667,61.008333,21.61,60.63,"Neogene","Miocene","Early/Lower Miocene","Burdigalian","Burdigalian","",20.44,15.97,90,48,"r","c","t","shal","Favia sp.","z","z","z",FALSE,"colonial","2"
"Favia",25257,"Faviidae","","",7077,"low-level epifaunal","photosymbiotic","Iran",515,26.5,60,22.26,59.78,"Neogene","Miocene","Early/Lower Miocene","Burdigalian","Burdigalian","",20.44,15.97,90,48,"r","c","t","shal","Favia junghuhni","z","z","z",FALSE,"colonial","2"
"Favia",25257,"Faviidae","","",7077,"low-level epifaunal","photosymbiotic","Iran",515,26.5,60,22.26,59.78,"Neogene","Miocene","Early/Lower Miocene","Burdigalian","Burdigalian","",20.44,15.97,90,48,"r","c","t","shal","Favia laxa","z","z","z",FALSE,"colonial","2"
"Favia",25257,"Faviidae","","",7077,"low-level epifaunal","photosymbiotic","Iran",515,26.5,60,22.26,59.78,"Neogene","Miocene","Early/Lower Miocene","Burdigalian","Burdigalian","",20.44,15.97,90,48,"r","c","t","shal","Favia pallida","z","z","z",FALSE,"colonial","2"
"Favia",25257,"Faviidae","","",7077,"low-level epifaunal","photosymbiotic","Iran",515,26.5,60,22.26,59.78,"Neogene","Miocene","Early/Lower Miocene","Burdigalian","Burdigalian","",20.44,15.97,90,48,"r","c","t","shal","Favia preamplior","z","z","z",FALSE,"colonial","2"
"Favia",25258,"Faviidae","3","specimens",7077,"low-level epifaunal","photosymbiotic","Iran",515,26.533333,57.583333,22.73,57.49,"Neogene","Miocene","Early/Lower Miocene","Burdigalian","Burdigalian","",20.44,15.97,90,48,"r","c","t","shal","Favia sp.","z","z","z",FALSE,"colonial","2"
"Favia",25374,"Faviidae","","",7106,"low-level epifaunal","photosymbiotic","Italy",307,40.016667,18.433333,38.02,16.73,"Paleogene","Oligocene","Late/Upper Oligocene","Chattian","Chattian","",28.1,23.03,89,47,"r","c","nt","shal","Favia sp.","z","z","z",FALSE,"colonial","2"
"Favia",25375,"Faviidae","common","category",7106,"low-level epifaunal","photosymbiotic","Italy",307,40,18.416667,38,16.71,"Paleogene","Oligocene","Late/Upper Oligocene","Chattian","Chattian","",28.1,23.03,89,47,"r","c","nt","shal","Favia sp.","z","z","z",FALSE,"colonial","2"
"Favia",26857,"Faviidae","","",7436,"low-level epifaunal","photosymbiotic","Indonesia",620,4.416667,119.666667,9.67,123.6,"Paleogene","Eocene","Late/Upper Eocene","Priabonian","Priabonian","",38,33.9,87,46,"r","c","t","shal","Favia pedunculata","z","z","z",FALSE,"colonial","2"
"Favia",27540,"Faviidae","abundant","category",7592,"low-level epifaunal","photosymbiotic","Italy",307,44.383333,8.266667,42.7,7.09,"Paleogene","Oligocene","Late/Upper Oligocene","Chattian","Chattian","",28.1,23.03,89,47,"r","c","nt","shal","Favia subdenticulata","z","z","z",FALSE,"colonial","2"
"Favia",27541,"Faviidae","abundant","category",7592,"low-level epifaunal","photosymbiotic","Italy",307,44.383333,8.266667,42.7,7.09,"Paleogene","Oligocene","Late/Upper Oligocene","Chattian","Chattian","",28.1,23.03,89,47,"r","c","nt","shal","Favia subdenticulata","z","z","z",FALSE,"colonial","2"
"Favia",27544,"Faviidae","common","category",7592,"low-level epifaunal","photosymbiotic","Italy",307,44.383333,8.266667,42.7,7.09,"Paleogene","Oligocene","Late/Upper Oligocene","Chattian","Chattian","",28.1,23.03,89,47,"r","c","nt","shal","Favia subdenticulata","z","z","z",FALSE,"colonial","2"
"Favia",27545,"Faviidae","rare","category",7592,"low-level epifaunal","photosymbiotic","Italy",307,44.383333,8.266667,42.7,7.09,"Paleogene","Oligocene","Late/Upper Oligocene","Chattian","Chattian","",28.1,23.03,89,47,"r","c","nt","shal","Favia subdenticulata","z","z","z",FALSE,"colonial","2"
"Favia",27546,"Faviidae","common","category",7592,"low-level epifaunal","photosymbiotic","Italy",307,44.383333,8.266667,42.7,7.09,"Paleogene","Oligocene","Late/Upper Oligocene","Chattian","Chattian","",28.1,23.03,89,47,"r","c","nt","shal","Favia subdenticulata","z","z","z",FALSE,"colonial","2"
"Favia",27585,"Faviidae","rare","category",7444,"low-level epifaunal","photosymbiotic","Trinidad and Tobago",201,10.333333,-61.4,9.96,-58.45,"Neogene","Miocene","","","Burdigalian","Serravallian",20.44,11.62,91,48,"r","c","t","shal","Favia dominicensis","z","z","z",FALSE,"colonial","2"
"Favia",27595,"Faviidae","rare","category",7444,"low-level epifaunal","photosymbiotic","Trinidad and Tobago",201,10.394444,-61.286111,10.03,-58.34,"Neogene","Miocene","","","Burdigalian","Serravallian",20.44,11.62,90,48,"r","c","t","shal","Favia dominicensis","z","z","z",FALSE,"colonial","2"
"Favia",27647,"Faviidae","","",7609,"low-level epifaunal","photosymbiotic","Jamaica",222,18.233333,-78.15,18.75,-72.66,"Cretaceous","Late/Upper Cretaceous","","Maastrichtian","Maastrichtian","",72.1,66,81,43,"nr","c","t","shal","Favia gregoryi","z","z","z",FALSE,"colonial","2"
"Favia",27650,"Faviidae","","",7609,"low-level epifaunal","photosymbiotic","Jamaica",222,18.326111,-78.23,18.85,-72.73,"Cretaceous","Late/Upper Cretaceous","","Maastrichtian","Maastrichtian","",72.1,66,81,43,"nr","c","t","shal","Favia gregoryi","z","z","z",FALSE,"colonial","2"
"Favia",28203,"Faviidae","","",7710,"low-level epifaunal","photosymbiotic","Indonesia",620,-0.466667,117.116667,-0.15,118.77,"Neogene","Miocene","Middle Miocene","","Middle Miocene","",15.97,11.608,92,49,"r","c","t","shal","Favia sp.","z","z","z",FALSE,"colonial","2"
"Favia",34475,"Faviidae","","",9084,"low-level epifaunal","photosymbiotic","Papua New Guinea",801,-6.25,147.683333,-6.25,147.68,"Quaternary","Pleistocene","Late/Upper Pleistocene","","Late/Upper Pleistocene","",0.126,0.0117,94,49,"r","c","t","shal","Favia laxa","z","z","z",FALSE,"colonial","2"
"Favia",34475,"Faviidae","","",9084,"low-level epifaunal","photosymbiotic","Papua New Guinea",801,-6.25,147.683333,-6.25,147.68,"Quaternary","Pleistocene","Late/Upper Pleistocene","","Late/Upper Pleistocene","",0.126,0.0117,94,49,"r","c","t","shal","Favia stelligera","z","z","z",FALSE,"colonial","2"
