REEF-No,NAME,FORMATION,SYSTEM,SERIES,INTERVAL,LAT,LON,PALEO-LAT,PALEO-LON,REF,BIOTA MAIN,BIOTA SEC,COUNTRY,PBDB,REMARKS
1,Tilkideligi Tepe,,Triassic,Upper Triassic,lower Norian,37.0333,30.3833,8.87947,21.7674,91,Calcisponges,,Turkey,38048,read more
2,Hydra,Pantokrator Limestone,Triassic,Upper Triassic,upper Carnian,37.3833,23.6333,7.32517,20.2917,33,Corals,,Greece,38018,read more
3,"Shiraho, W-Pacific",,Quarternary,Holocene,Holocene,24.3333,124.25,24.3795,124.163,10,Corals,,Pacific,,read more
4,Aksu-Terziler area,,Triassic,Upper Triassic,Tuvalian,37.8,31.0333,-0.309389,26.3043,91,Calcisponges,,Turkey,60649,read more
5,"Adnet, Salzburg",,Triassic,Upper Triassic,upper Rhaetian,47.7,13.1667,32.6069,16.4294,11,Corals,,Austria,22963,read more
6,Rötelwand,,Triassic,Upper Triassic,Rhaetian,47.7,13.1833,32.4826,15.5517,11,Corals,,Austria,36815,read more
7,Rio Blanco,,Triassic,Upper Triassic,Rhaetian,37.325,-3.4333,24.7231,0.828875,13,"Serpulids, worms, vermetids",,Spain,67734,read more
8,"Anxian, Sichuan",Hanwang,Triassic,Upper Triassic,upper Carnian,31.6167,104.4333,29.1875,90.9345,14,Siliceous sponges,,China,25405,read more
9,Grimming,,Triassic,Upper Triassic,upper Norian,47.5833,14.25,28.8474,16.8181,6,Calcisponges,,Austria,170644,read more
10,"Lime Peak, Yukon",Aksala,Triassic,Upper Triassic,Norian,61.0611,-134.8736,27.3014,-73.4842,16,Calcisponges,,Canada,38033,read more
11,"Sarmeika reef, Argolis",Pantokrator,Triassic,Upper Triassic,Norian,37.6333,23.0833,13.4597,17.9499,17,Calcisponges,,Greece,24310,read more
12,Feichtenstein,,Triassic,Upper Triassic,upper Rhaetian,47.7069,13.2972,32.5632,16.5202,18,Corals,,Austria,36801,read more
13,Gruber,,Triassic,Upper Triassic,upper Rhaetian,47.6861,13.3039,32.5434,16.5107,18,Corals,,Austria,36807,read more
14,"Wombat Plateau, offshore Australia, Indian Ocean",,Triassic,Upper Triassic,Rhaetian,-16.8333,115.8333,-23.2476,70.8606,20,Corals,,Indian Ocean,36912,read more
15,Mahlknecht,,Triassic,Middle Triassic,upper Ladinian,46.5,11.3667,7.90845,22.1236,21,Microbes,,Italy,67723,read more
16,Wilde Kirche+Tegernsee,,Triassic,Upper Triassic,upper Rhaetian,47.4333,11.7167,32.9408,15.2906,22,Corals,,Austria,67807,read more
17,"Aflenz, Hochschwab",,Triassic,Upper Triassic,upper Norian,47.6167,15.1333,28.5504,17.4079,23,Corals,,Austria,36450,read more
18,Celje,,Triassic,Middle Triassic,Ladinian,46.25,15.2667,6.1949,24.2289,24,Calcisponges,,Slovenia,36534,read more
19,Pokljuka,,Triassic,Upper Triassic,middle/upper Norian,46.4,14.0333,24.4212,16.6255,24,Corals,,Slovenia,36564,read more
20,Hudajuzna and Cerkno area,,Triassic,Upper Triassic,early Carnian,46.1833,13.7667,11.7787,21.1428,24,Calcisponges,,Slovenia,36558,read more
21,Hohe Wand,Dachstein,Triassic,Upper Triassic,Sevatian,47.8167,16.25,28.3132,18.2499,28,Calcisponges,,Austria,170674,read more
22,"Alichur, Pamir",,Triassic,Middle Triassic,late Ladinian,37.5833,73.3333,6.02228,54.6735,29,Corals,,Tajikistan,36694,read more
23,"Schaimak, Pamir",Shaimak,Triassic,Upper Triassic,lower Norian,37.5,74.5,30.0306,54.4982,30,Corals,,Tajikistan,34646,read more
24,"Schachtessai, Pamir",Bortepa,Triassic,Upper Triassic,Sevatian,37.3333,74.6667,33.296,57.2672,30,Calcisponges,,Tajikistan,34647,read more
25,Mala Fatra,,Triassic,Upper Triassic,Rhaetian,49.1667,18.8333,29.7007,22.0867,32,Corals,,Slovakia,42541,read more
26,"Panormide, Sicily",,Triassic,Upper Triassic,upper Norian,38.1333,13.3833,21.1865,10.6646,34,Calcisponges,,Italy,36454,read more
27,"Monti Cadini, Dolomites",Cassian,Triassic,Upper Triassic,lower Carnian,46.5833,12.25,11.7788,20.8909,35,Microbes,,Italy,170920,read more
28,Gosaukamm,Dachstein,Triassic,Upper Triassic,upper Norian,47.4833,13.6,29.0054,16.3366,36,Calcisponges,,Austria,38148,read more
29,"Spiti, Himalaya",Nimaloksa,Triassic,Upper Triassic,middle Norian,32.1,78.1667,-24.8587,48.0545,37,Corals,,India,36386,read more
30,"Hangrang, Kinnaur, Himalaya",Nimaloksa,Triassic,Upper Triassic,middle Norian,31.8,78.5333,-25.2862,47.9847,37,Corals,,India,36388,read more
31,Granada,,Triassic,Middle Triassic,Ladinian,37.1667,-3.5833,2.59829,9.99759,39,"Serpulids, worms, vermetids",,Spain,,read more
32,Gesäuse,Dachstein,Triassic,Upper Triassic,upper Norian,47.5833,14.4667,28.7674,16.9577,41,Calcisponges,,Austria,36516,read more
33,Jebel Wasa south,Jebel Wasa,Triassic,Upper Triassic,Norian,24.7,55.8667,-6.82581,42.3446,818,Calcisponges,,Oman,24304,read more
34,Lovere,Camorelli,Triassic,Middle Triassic,middle Anisian,45.8167,10.0667,6.62279,22.6089,43,Microbes,,Italy,67717,read more
35,Jebel Kawr,Misfah,Triassic,Upper Triassic,Norian,23.1722,57.0583,-8.63871,43.1808,818,Corals,,Oman,24306,read more
36,Olang,Recoaro - Upper Serla,Triassic,Middle Triassic,upper Anisian,46.75,11.9667,6.59908,24.1161,45,Calcisponges,,Italy,23570,read more
37,"Karwendel, Innsbruck",Wetterstein,Triassic,Middle Triassic,Ladinian,47.3,11.4,8.54778,22.6101,46,Calcisponges,,Austria,38140,read more
38,Hafelekar,,Triassic,Middle Triassic,Ladinian/Carnian,47.3028,11.4,13.1634,20.6356,46,Calcisponges,,Austria,45428,read more
39,Idrija,,Triassic,Upper Triassic,Cordevolian,46.1667,13.9167,13.5543,20.4318,48,Corals,,Slovenia,,read more
40,"Fischerwiese, Steinplatte",Zlambach Beds,Triassic,Upper Triassic,upper Rhaetian,47.6,12.5667,32.7523,15.9659,50,Corals,,Austria,38141,read more
41,Richthofen,Cassian Dolomite,Triassic,Upper Triassic,lower Carnian,46.5333,11.9667,11.8502,20.6987,52,Calcisponges,,Italy,,read more
42,Monte Caramolo,Calcari,Triassic,Middle Triassic,Ladinian/Carnian,39.8,16.1167,5.03422,19.2646,53,Calcisponges,,Italy,25260,read more
43,"Malajon, Palawan",Coron,Triassic,Upper Triassic,Rhaetian,12.15,119.8167,33.2683,116.607,54,Corals,,Philippines,24144,read more
44,Hochkönig,Dachstein,Triassic,Upper Triassic,upper Norian,47.45,13.0667,29.1772,15.9719,55,Corals,,Austria,25261,read more
45,"Kotel, Luda-Kamcia",Kotel,Triassic,Upper Triassic,Norian,42.9,26.5,14.5097,24.2988,1494,Corals,,Bulgaria,,read more
46,"Pilot Mountains I, Nevada",Luning,Triassic,Upper Triassic,lower Norian,38.4083,-118.0167,12.8399,-55.2316,57,Calcisponges,,United States,45520,read more
47,"Lake Shasta, California",Hosselkus Limestone,Triassic,Upper Triassic,upper Carnian,40.6,-122.05,15.5912,-58.3598,57,Corals,,United States,33354,read more
48,"Summit Peak, N-Wallowa Mountains, Oregon",Martin Bridge,Triassic,Upper Triassic,lower Norian,45.5,-117.5167,19.7899,-53.7103,1150,Microbes,,United States,38063,read more
49,"South Vancouver, British Columbia",Sutton Limestone,Triassic,Upper Triassic,Norian,48.8569,-124.2319,-6.2783,-66.0372,57,Corals,,Canada,45379,read more
50,"Gravina Island, Alaska",Nehenta,Triassic,Upper Triassic,lower Norian,55.3333,-131.75,21.9169,-69.6056,57,Corals,,United States,33424,read more
51,North Vancouver,,Triassic,Upper Triassic,Norian,50.5,-127.6333,-4.80998,-68.3689,57,Corals,,Canada,172167,read more
52,"Iliamna, Alaska",,Triassic,Upper Triassic,Norian,59.5,-155.5,5.47097,-80.9865,57,Calcisponges,,United States,33407,read more
53,Uffenheim,,Triassic,Middle Triassic,Ladinian,49.5489,10.2261,16.3277,17.6754,58,Non-rudist bivalves,,Germany,67651,read more
54,Marktbreit,,Triassic,Middle Triassic,Ladinian,49.6703,10.1433,16.413,17.5694,58,Non-rudist bivalves,,Germany,67650,read more
55,Enslingen,,Triassic,Middle Triassic,Ladinian,49.1167,9.75,15.8032,17.5826,58,Non-rudist bivalves,,Germany,67649,read more
56,La Riba,,Triassic,Middle Triassic,upper Ladinian,41.2833,1.1667,5.48093,14.7169,59,Corals,,Spain,73813,read more
57,"Zhenfeng (Chen-feng), Guizhou",Yangliujing,Triassic,Middle Triassic,Ladinian,25.25,105.75,17.0487,94.7012,60,Corals,,China,78652,read more
58,"Shizong+Ch-iu-pei, Yunnan",Lanmu,Triassic,Middle Triassic,Ladinian,24.5,104.2,15.7102,93.7997,60,Corals,,China,78654,read more
59,"Mianzhu, Sichuan",,Triassic,Upper Triassic,Carnian,31.3167,104.2167,27.0529,90.4128,61,Calcisponges,,China,,read more
60,"Yangmeibao, Huaxi, Guizhou",Qinyan,Triassic,Middle Triassic,Anisian,26.4667,106.7333,13.6812,96.11,61,Algae,,China,78655,read more
61,"Manang, Annapurna",Tarap,Triassic,Upper Triassic,middle Norian,28.7,83.9667,-30.8982,48.3935,62,Corals,,Nepal,67621,read more
62,"Mission Creek, Lewiston, Idaho",Martin Bridge,Triassic,Upper Triassic,early Sevatian,46.3667,-116.7333,21.3666,-54.6119,435,Corals,,United States,38377,read more
63,"New Pass, Nevada",Augusta,Triassic,Middle Triassic,Ladinian,39.6,-117.4833,6.47445,-44.7044,63,Corals,,United States,42552,read more
64,"Tudiya, Wenxingchang, Laolongdong, Beipei buildup group, Sichuan",Changxing,Permian,Lopingian,Changhsingian,29.9167,106.4333,7.98772,95.6738,221,Calcisponges,,China,36221,read more
65,Opole,,Triassic,Middle Triassic,late Anisian,50.5667,18.0833,18.6575,23.8532,66,Siliceous sponges,,Poland,34729,read more
66,Acotambo,Chambara,Triassic,Upper Triassic,Norian,-8.75,-76.75,-20.6048,-44.7596,67,Corals,,Peru,36994,read more
67,Lagazuoi,Cassian,Triassic,Middle Triassic,Ladinian/Carnian,46.5333,12.0333,12.2857,20.5388,68,Microbes,,Italy,,read more
68,Aghdarband,,Triassic,Lower Triassic,Spathian,35.9833,60.85,-0.846413,55.6974,70,Algae,,Iran,73814,read more
69,"Latemar, Dolomites",Schlern,Triassic,Middle Triassic,late Anisian,46.3833,11.5833,6.47341,23.6795,143,Microbes,,Italy,49932,read more
70,Epinal,,Triassic,Middle Triassic,Ladinian,48.1667,6.4333,14.0212,15.9369,73,Non-rudist bivalves,,France,73865,read more
71,Mottgers,,Triassic,Middle Triassic,Anisian,50.3,9.6833,16.0727,19.0709,74,Non-rudist bivalves,,Germany,34703,read more
72,Begunjscica,,Triassic,Upper Triassic,Rhaetian,46.4333,14.0333,31.1035,15.3227,75,Calcisponges,,Slovenia,36572,read more
73,W-Ceram,Asinepe Limestone,Triassic,Upper Triassic,Norian,-3.25,128.6667,-27.7444,100.984,77,Corals,,Indonesia,34892,read more
74,Central Ceram,Asinepe Limestone,Triassic,Upper Triassic,Sevatian-Rhaetian,-3.1667,129.6667,-26.781,98.5747,77,Calcisponges,,Indonesia,34893,read more
75,"Marawand, Delijan",Nayband,Triassic,Upper Triassic,Sevatian,33.5667,51.4833,33.1704,41.0511,9,Calcisponges,,Iran,37960,read more
76,"Lakaftari, Esfahan",Nayband,Triassic,Upper Triassic,middle Norian,32.95,52,30.381,39.8856,81,Corals,,Iran,37983,read more
77,Tabas area including Parvadeh section,Nayband,Triassic,Upper Triassic,upper Norian,33.25,57.1667,-12.232,44.7392,249,Corals,,Iran,36869,read more
