"sys","system","series","stage","short","bottom","mid","top","dur","stg","systemCol","seriesCol","col"
"E","Ediacaran","Upper Ediacaran","Avalon Assemblage","Ava",580,570,560,20,1,"#fddd88","#fddd88","#fcd589"
"E","Ediacaran","Upper Ediacaran","White Sea Assemblage","Whs",560,555,550,10,2,"#fddd88","#fddd88","#fdd587"
"E","Ediacaran","Upper Ediacaran","Nama Assemblage","Nam",550,544.4,538.8,11.2,3,"#fddd88","#fddd88","#fed583"
"Cm","Cambrian","Terreneuvian","Fortunian","For",538.8,533.9,529,9.8,4,"#94ac72","#9db989","#a9be93"
"Cm","Cambrian","Terreneuvian","Stage 2","St2",529,525,521,8,5,"#94ac72","#9db989","#b6c29e"
"Cm","Cambrian","Series 2","Stage 3","St3",521,517.75,514.5,6.5,6,"#94ac72","#a9c595","#b5ca9f"
"Cm","Cambrian","Series 2","Stage 4","St4",514.5,511.75,509,5.5,7,"#94ac72","#a9c595","#c0ceaa"
"Cm","Cambrian","Maolingian","Wulian","Wul",509,506.75,504.5,4.5,8,"#94ac72","#b6d2a2","#c1d6af"
"Cm","Cambrian","Maolingian","Drumian","Dru",504.5,502.5,500.5,4,9,"#94ac72","#b6d2a2","#cddbb8"
"Cm","Cambrian","Maolingian","Guzhangian","Guz",500.5,498.75,497,3.5,10,"#94ac72","#b6d2a2","#d6e1c1"
"Cm","Cambrian","Furongian","Paibian","Pai",497,495.6,494.2,2.8,11,"#94ac72","#c2ddb0","#d8e8c4"
"Cm","Cambrian","Furongian","Jiangshanian","Jia",494.2,492.6,491,3.2,12,"#94ac72","#c2ddb0","#e4efcf"
"Cm","Cambrian","Furongian","Stages 10","St10",491,488.925,486.85,4.15,13,"#94ac72","#c2ddb0","#edf2db"
"O","Ordovician","Lower Ordovician","Tremadocian","Tre",486.85,481.965,477.08,9.77,14,"#009881","#00a180","#0dac98"
"O","Ordovician","Lower Ordovician","Floian","Flo",477.08,474.17,471.26,5.82,15,"#009881","#00a180","#0eb1a0"
"O","Ordovician","Middle Ordovician","Dapingian","Dap",471.26,470.34,469.42,1.84,16,"#009881","#34b597","#67c0ae"
"O","Ordovician","Middle Ordovician","Darriwilian","Dar",469.42,463.8,458.18,11.24,17,"#009881","#34b597","#79c5b8"
"O","Ordovician","Upper Ordovician","Sandbian","Sbd",458.18,455.465,452.75,5.43,18,"#009881","#8ccbae","#9bceaf"
"O","Ordovician","Upper Ordovician","Katian","Kat",452.75,448.98,445.21,7.54,19,"#009881","#8ccbae","#a6d5c3"
"O","Ordovician","Upper Ordovician","Hirnantian","Hir",445.21,444.14,443.07,2.14,20,"#009881","#8ccbae","#b6d9c3"
"S","Silurian","Llandovery","Rhuddanian","Rhu",443.07,441.78,440.49,2.58,21,"#bfe0cd","#8ccbae","#b3dccc"
"S","Silurian","Llandovery","Aeronian","Aer",440.49,439.54,438.59,1.9,22,"#bfe0cd","#8ccbae","#c1e1d6"
"S","Silurian","Llandovery","Telychian","Tel",438.59,435.76,432.93,5.66,23,"#bfe0cd","#8ccbae","#cae8e0"
"S","Silurian","Wenlock","Sheinwoodian","She",432.93,431.775,430.62,2.31,24,"#bfe0cd","#c1e1d6","#cce7d8"
"S","Silurian","Wenlock","Homerian","Hom",430.62,428.68,426.74,3.88,25,"#bfe0cd","#c1e1d6","#d6ebe2"
"S","Silurian","Ludlow","Gorstian","Gor",426.74,425.875,425.01,1.73,26,"#bfe0cd","#cce7e2","#d6ecea"
"S","Silurian","Ludlow","Ludfordian","Lud",425.01,423.87,422.73,2.28,27,"#bfe0cd","#cce7e2","#e2f1ec"
"S","Silurian","Pridoli","Pridoli","Pri",422.73,420.865,419,3.73,28,"#bfe0cd","#ebf5ec","#ebf5ec"
"D","Devonian","Lower Devonian","Lochkovian","Loc",419,415.7,412.4,6.6,29,"#d49f51","#e9ba6a","#eac378"
"D","Devonian","Lower Devonian","Pragian","Pra",412.4,411.455,410.51,1.89,30,"#d49f51","#e9ba6a","#ebcd87"
"D","Devonian","Lower Devonian","Emsian","Ems",410.51,402.405,394.3,16.21,31,"#d49f51","#e9ba6a","#edd595"
"D","Devonian","Middle Devonian","Eifelian","Eif",394.3,389.8,385.3,9,32,"#d49f51","#f4ce85","#f5da93"
"D","Devonian","Middle Devonian","Givetian","Giv",385.3,382.1,378.9,6.4,33,"#d49f51","#f4ce85","#f5e2a0"
"D","Devonian","Upper Devonian","Frasnian","Fra",378.9,375,371.1,7.8,34,"#d49f51","#f5e4b6","#f4edc3"
"D","Devonian","Upper Devonian","Famennian","Fam",371.1,365.2,359.3,11.8,35,"#d49f51","#f5e4b6","#f4f0d5"
"C","Carboniferous","Mississippian","Tournaisian","Tou",359.3,353.015,346.73,12.57,36,"#6eafb5","#769e83","#9db989"
